Sismos reportados en el 2024    / Total de sismos = 158
Fecha;Hora Local;Magnitud;Profundidad en km;Localizacion;Origen;Reportado;Latitud;Longitud;
2024-08-30;14:54:00;3;8;3 km al Noroeste de Santiago de Puriscal;Tectónico en falla local;Santiago, Grifo Alto, Piedras Negras, Coyol, Atenas, Zapatón, Turrúcares y Ciudad Colón;9.8734;-84.3289
2024-08-28;03:35:48;3.6;22;9 km al suroeste de Santa María de Dota;Tectónico en falla local;Escazú, Curridabat, Santa Ana y Quepos.;9.5742;-83.9926
2024-08-25;10:17:10;5.3;64;91 km Oeste de Playas del Coco. Guanacaste;Subducción;Leve en Tamarindo;10.518;-86.5445
2024-08-25;23:08:41;6.1;31;130 km Sur de Chiriquí. Panamá;Zona de Fractura de Panamá;Zona sur de Costa Rica y leve en el Valle Central;7.1821;-82.5179
2024-08-17;22:49:54;2.8;7;3.5 km al sureste de Armenias de Upala;Tectónico en falla local;Armenias y Bijagua;10.7917;-85.1041
2024-08-15;00:20:31;3.3;6;Las Nubes de Coronado;Fallamiento local;Todo el Valle Central;9.9853;-83.9542
2024-08-09;09:48:29;4.3;14;41 km Sur Oeste de Uvita. Parque Nacional Marino Ballena;Subducción;Leve en Pérez Zeledón;8.9514;-84.0889
2024-07-31;20:22:00;3.7;61;3 km al norte de Acosta;Tectónico por deformación interna de la porción subducida de la placa del Coco;Santa Ana, Heredia, Desamparados, Coronado, Grecia, Alajuela, Atenas, Moravia,  Naranjo;9.8275;-84.1564
2024-07-30;20:07:00;3.6;40;8 km al noroeste de Nicoya;Deformación interna de la porción subducida de la placa del Coco.;Nicoya, Caballito, Tilarán, Playa Grande, Veintisiete de Abril y Nosara.;10.2153;-85.4732
2024-07-27;01:41:00;1.9;7;1.5 km Sur de San Felipe de Alajuelita;Fallamiento Local;Alajuelita, Escazú, Desamparados;9.8939;-84.1024
2024-07-23;12:51:00;3.3;8;Colonias de Guayabo. Turrialba;Fallamiento Local;Turrialba, Guayabo;9.9623;-83.6775
2024-07-22;14:17:00;5.7;16;23 km sur de Puerto Armuelles;Zona de Fractura de Panamá;Zona Sur y Valle Central;8.0609;-82.8621
